,Link,Strategy,Tickers,1 Month Hold,3 Month Hold,6 Month Hold,12 Month Hold
0,/article/4038275-apple-unexpected-positive-appears,Long,AAPL,0,0,0,1
1,/article/4038269-apple-renewing-mac-focus-new-year,Long,AAPL,0,0,0,1
2,/article/4037413-apple-user-base,Long,AAPL,0,0,0,1
3,/article/4037382-apple-expect-new-time-highs-2017,Long,AAPL,0,0,0,1
4,/article/4037110-weak-demand-may-impact-apple-stock,Short,AAPL,0,0,0,1
5,/article/4040495-apple-repurchase-program-positive-effects,Long,AAPL,0,0,0,1
6,/article/4039864-apple-buy-disney-creating-trillion-dollar-mousetrap,Long,AAPL,0,0,0,1
7,/article/4039312-apple-pulled-deal-manufacture-india,Long,AAPL,0,0,0,1
8,/article/4038678-apple-ultimate-super-cycle-death-blow,Long,AAPL,0,0,0,1
9,/article/4042046-apples-earnings-blow-bears,Long,AAPL,0,0,0,1
10,/article/4042018-apple-india-story-says,Long,AAPL,0,0,0,1
11,/article/4041889-apple-shareholder-bonus-check-year,Long,AAPL,0,0,0,1
12,/article/4041766-apple-taking-profits-yet,Long,AAPL,0,0,0,1
13,/article/4041620-apple-managed-build-wall-underneath-stock,Long,AAPL,0,0,0,1
14,/article/4040996-apples-music-major-contributor-services-revenue-growth,Long,AAPL,0,0,0,1
15,/article/4040951-apples-december-quarter-expect-expected,Long,AAPL,0,0,0,1
16,/article/4040682-apple-likely-beat-earnings-estimates-week,Long,AAPL,0,0,0,1
17,/article/4041075-apple-forgotten-think-different,Short,AAPL,0,0,0,1
18,/article/4045215-apples-chinese-segment-will-come-back-next-quarter,Long,AAPL,0,0,0,1
19,/article/4044927-apple-1000-iphone,Long,AAPL,0,0,0,1
20,/article/4044858-apple-india-force-awakens,Long,AAPL,0,0,0,1
21,/article/4044756-apple-one-hand-worth-two-bush,Long,AAPL,0,0,0,1
22,/article/4044354-avoid-one-pothole-valuing-apple-shares,Long,AAPL,0,0,0,1
23,/article/4043908-apple-channel-inventory-analysis-suggests-upside-unit-shipments,Long,AAPL,0,0,0,1
24,/article/4043844-warren-buffett-loves-apple-can-stock-hit-150,Long,AAPL,0,0,0,1
25,/article/4043649-will-apple-watch-success,Long,AAPL,0,0,0,1
26,/article/4043037-reasons-apple-hot-manufacture-india,Long,AAPL,0,0,0,1
27,/article/4043024-apple-knocked-worlds-valuable-brand-next,Long,AAPL,0,0,0,1
28,/article/4042796-apples-next-quarter-likely-top-wall-street-estimates,Long,AAPL,0,0,0,1
29,/article/4047387-get-excited-apple-manufacturing-india,Long,AAPL,0,0,0,1
30,/article/4046816-will-next-apple-watch-feature-lte,Long,AAPL,0,0,0,1
31,/article/4046802-apple-tough-race-1-trillion,Long,AAPL,0,0,0,1
32,/article/4046389-apple-oled-future-iphone,Long,AAPL,0,0,0,1
33,/article/4046290-warren-buffett-quadrupled-position-apple,Long,AAPL,0,0,0,1
34,/article/4046266-apple-continues-pivot-towards-asia,Long,AAPL,0,0,0,1
35,/article/4045748-apple-comes-next,Long,AAPL,0,0,0,1
36,/article/4045458-will-apple-pay-growth-engine,Long,AAPL,0,0,0,1
37,/article/4045456-apple-worth-150-share-valuation-analysis,Long,AAPL,0,0,0,1
38,/article/4045371-8-wonders-iphone-x-impact-apples-bottom-line,Long,AAPL,0,0,0,1
39,/article/4045357-apple-working-gst-issue-indian-government,Long,AAPL,0,0,0,1
40,/article/4049575-apple-song-remains,Long,AAPL,0,0,0,1
41,/article/4049200-valuing-apple-shares-much-higher-can-go,Long,AAPL,0,0,0,1
42,/article/4048964-will-apples-domestic-performance-strong-enough-offset-slow-global-sales,Long,AAPL,0,0,0,1
43,/article/4048905-2-choices-apple,Long,AAPL,0,0,0,1
44,/article/4048304-apple-iphone-pricing-data-suggests-upside-2017,Long,AAPL,0,0,0,1
45,/article/4048353-apples-efforts-include-ar-iphone-8-marks-key-transition-point,Long,AAPL,0,0,0,1
46,/article/4048346-apple-really-going,Long,AAPL,0,0,0,1
47,/article/4047827-apple-good-investment-usd-700-billion,Long,AAPL,0,0,0,1
48,/article/4047615-buffett-buy-apple,Long,AAPL,0,0,0,1
49,/article/4047604-apple-4-realistic-scenarios,Long,AAPL,0,0,0,1
50,/article/4047574-apple-smartphone-playing-field-level-china,Long,AAPL,0,0,0,1
51,/article/4050528-apple-will-iphone-8-cost,Long,AAPL,0,0,0,1
52,/article/4050055-understand-berkshires-stake-apple-need-stop-thinking-technology-company,Long,AAPL,0,0,0,1
53,/article/4054268-apple-antifragile,Long,AAPL,0,0,0,1
54,/article/4053753-apple-just-grab-smartphone-share-android,Long,AAPL,0,0,0,1
55,/article/4053664-apple-time-refresh,Long,AAPL,0,0,0,1
56,/article/4053223-long-apple-remains-good-idea,Long,AAPL,0,0,0,1
57,/article/4052928-apple-growing-presence-enterprise,Long,AAPL,0,0,0,1
58,/article/4052354-apple-freeze-buyback-program,Long,AAPL,0,0,0,1
59,/article/4056241-apple-constructive-engagement-pays-asia-confrontation-probably,Long,AAPL,0,0,0,0
60,/article/4056222-apple-investors-optimistic,Long,AAPL,0,0,0,0
61,/article/4055978-swatch-finally-responds-apple-watch,Long,AAPL,0,0,0,0
62,/article/4054941-apple-antifragile,Long,AAPL,0,0,0,0
63,/article/4055956-take-profits-apple-140-hype-worth-risk,Short,AAPL,0,0,0,0
64,/article/4055719-apple-better,Short,AAPL,0,0,0,0
65,/article/4057719-apples-augmented-reality-challenge,Long,AAPL,0,0,0,1
66,/article/4057481-s-and-p-500-doubles-earnings-flat-selloff-inevitable-true-apple,Long,AAPL,0,0,0,1
67,/article/4057107-apple-overvalued-dcf-analysis,Long,AAPL,0,0,0,1
68,/article/4057114-putting-apples-ipad-announcement-perspective,Long,AAPL,0,0,0,1
69,/article/4056987-apples-ipad-non-event,Long,AAPL,0,0,0,1
70,/article/4057126-will-trump-approve-apple-buyback,Short,AAPL,0,0,0,1
71,/article/4056592-apple-massive-gamble-airpods,Short,AAPL,0,0,0,1
72,/article/4059382-apple-power-streaming-music,Long,AAPL,0,0,0,0
73,/article/4058824-apple-time-highs-closing-150,Long,AAPL,0,0,0,0
74,/article/4058330-will-apples-smartglasses-arrive,Long,AAPL,0,0,0,0
75,/article/4061015-can-apple-double-service-business-2020,Long,AAPL,1,0,0,1
76,/article/4060810-problem-long-apple-wanting-hear-anything-bad,Long,AAPL,1,0,0,1
77,/article/4060173-premium-tv-bundle-apples-secret-weapon,Long,AAPL,1,0,0,1
78,/article/4059966-apple-search-better-graphics,Long,AAPL,1,0,0,1
79,/article/4059933-apple-will-reach-200-sooner-think,Long,AAPL,1,0,0,1
80,/article/4059839-apple-key-analyst-research-themes,Long,AAPL,1,0,0,1
81,/article/4060624-apple-likely-display-short-term-strength-better-expected-q2-earnings,Short,AAPL,1,0,0,1
82,/article/4060167-apple-huge-risk-correction-play,Short,AAPL,1,0,0,1
83,/article/4062595-apples-project-titan-california-makes-official,Long,AAPL,0,0,0,0
84,/article/4062472-apple-disney-merger-make-sense,Long,AAPL,0,0,0,0
85,/article/4061598-short-apple-buybacks-save-stock,Short,AAPL,0,0,0,0
86,/article/4064288-apple-want-satellites,Long,AAPL,0,0,0,0
87,/article/4064202-will-iphone-ever-dethroned,Long,AAPL,0,0,0,0
88,/article/4063368-apple-inferior-iphone,Long,AAPL,0,0,0,0
89,/article/4062912-apples-tax-repatriation-scenarios-impacts-shareholders,Long,AAPL,0,0,0,0
90,/article/4066926-buy-apple-ahead-earnings-announcement,Long,AAPL,0,0,0,1
91,/article/4068081-apples-bottom-line-strong-appears,Long,AAPL,0,0,0,1
92,/article/4067770-apple-investors-trim-positions,Long,AAPL,0,0,0,1
93,/article/4068449-apples-earnings-results-dismal-moving-sidelines,Short,AAPL,0,0,0,1
94,/article/4067579-apple-stock-sell-signal,Short,AAPL,0,0,0,1
95,/article/4072215-apple-scenario-analysis-earnings-valuations,Long,AAPL,0,1,0,1
96,/article/4071859-apple-avoid-20-percent-downside,Long,AAPL,0,1,0,1
97,/article/4071670-apple-defending-tim-cook,Long,AAPL,0,1,0,1
98,/article/4071119-apple-let-price-talking,Long,AAPL,0,1,0,1
99,/article/4070675-apples-enterprise-penetration-unspoken-pillar-growth,Long,AAPL,0,1,0,1
100,/article/4070630-apple-poised-make-another-run-higher,Long,AAPL,0,1,0,1
101,/article/4070584-apple-status-quo-remains,Long,AAPL,0,1,0,1
102,/article/4070446-surprise-apple-iphone-shipments-actually-last-quarter,Long,AAPL,0,1,0,1
103,/article/4072612-time-microsoft-upsetting-apple-cart,Short,AAPL,0,1,0,1
104,/article/4074583-apple-begins-new-chapter-india,Long,AAPL,1,1,0,1
105,/article/4076982-apple-uses-chip-expertise-move-ahead-ai,Long,AAPL,1,0,0,0
106,/article/4076817-apple-widely-followed-stock-overvalued,Long,AAPL,1,0,0,0
107,/article/4075941-apple-nokia-settle-differences,Long,AAPL,1,0,0,0
108,/article/4075648-apple-itunes-app-store-double-sales-google-play-store,Long,AAPL,1,0,0,0
109,/article/4075434-short-term-momentum-overshadowed-longer-term-need-revenue-streams,Long,AAPL,1,0,0,0
110,/article/4075424-thing-apples-euro-debt,Long,AAPL,1,0,0,0
111,/article/4075399-apples-tencent-run,Short,AAPL,1,0,0,0
112,/article/4075351-apple-berkshire-hathaway-following-buffett-buffett-two-different-things,Short,AAPL,1,0,0,0
