,Time,Link,Title,Authors,Tickers,Strategy
0," May 10, 2017, 8:39 AM ",/article/4071598-murphy-oil-increased-position-50-percent,Murphy Oil: Why We Increased Our Position By 50%, Celeritas Investments,MUR,Long
1," May 10, 2017, 8:08 AM ",/article/4071587-altisource-portfolio-solutions-ocwens-history-adding-value-nrz-rmbs-bond-investors-presents,Altisource Portfolio Solutions: Ocwen's History Of Adding Value To NRZ And RMBS Bond Investors Presents Buy Opportunity, John Devaney,ASPS,Long
2," May 10, 2017, 7:05 AM ",/article/4071568-ignoring-noise-kroger,Ignoring The Noise On Kroger, Harshal Patel,KR,Long
3," May 10, 2017, 7:01 AM ",/article/4071556-buy-energy-transfer-partners-late,Buy Energy Transfer Partners Before It's Too Late, Brandon Dempster,ETP,Long
4," May 10, 2017, 5:47 AM ",/article/4071539-gold-stock-buy,This Gold Stock Is A Buy, John Manfreda,WDOFF,Long
5," May 10, 2017, 2:53 AM ",/article/4071515-future-arrived-eog-resources,The Future Has Arrived For EOG Resources, Gary Bourgeault,EOG,Long
6," May 10, 2017, 2:10 AM ",/article/4071499-big-blue-sky-falling,Is The Big Blue Sky Falling?, Thomas Pangia,IBM,Long
7," May 10, 2017, 12:16 AM ",/article/4071479-mcdonalds-just-start,McDonald's: This Is Just The Start, Orthodox Investor,MCD,Long
8," May 9, 2017, 7:19 PM ",/article/4071357-nvidia-blows-market-away,Nvidia Blows The Market Away, Kumquat Research,NVDA,Long
9," May 9, 2017, 6:26 PM ",/article/4071336-vistra-energy-low-leverage-electric-company-large-free-cash-flow,Vistra Energy: Low-Leverage Electric Company With Large Free Cash Flow," Korr Acquisitions Group, Inc",VST,Long
10," May 9, 2017, 5:34 PM ",/article/4071311-american-express-lost-steam-growth,American Express Has Lost Its Steam Of Growth, Isaac Tang,AXP,Long
11," May 9, 2017, 5:05 PM ",/article/4071313-sparking-novartis-shares-spring,What Is Sparking Novartis Shares This Spring?, Strong Bio,NVS,Long
12," May 9, 2017, 4:19 PM ",/article/4071264-aimmune-therapeutics-dbv-technologies-room,Aimmune Therapeutics And DBV Technologies: Room For Both, Biotech Beast,"AIMT, DBVT",Long
13, DBD,/article/4070776-diebold-nixdorf-will-merger-revitalize-company,Diebold Nixdorf: Will The Merger Revitalize The Company?," May 9, 2017, 4:08 PM ",Editors' Pick ,Long
14," May 9, 2017, 3:59 PM ",/article/4071275-rye-patch-gold-value-synergy,Rye Patch Gold: The Value Of Synergy, Gold Panda,RPMGF,Long
15," May 9, 2017, 3:55 PM ",/article/4071270-ship-finance-international-ltd-exposure-offshore-drilling-market,Ship Finance International Ltd.: Its Exposure To The Offshore Drilling Market, Tudor Invest Holdings,SDRL,Long
16, LQDT,/article/4070762-liquidity-services-hidden-growth-comes-surface,Liquidity Services: Hidden Growth Comes To The Surface," May 9, 2017, 3:32 PM ",Editors' Pick ,Long
17, CBJC,/article/4070752-capital-bank-safe-bank-merger-25-percent-annualized-return,Capital Bank: A Safe Bank Merger With 25% Annualized Return," May 9, 2017, 3:25 PM ",Editors' Pick ,Long
